schedule_id,scenario,day,from_crn,to_crn,from_building,to_building,walk_min,gap_min,verdict
easy,analyze,M,90001,90003,MCB,WHI,18,10,impossible
easy,analyze,W,90001,90003,MCB,WHI,18,10,impossible
easy,analyze,F,90001,90003,MCB,WHI,18,10,impossible
brutal,analyze,M,90001,90003,MCB,WHI,18,10,impossible
brutal,analyze,M,90003,90007,WHI,TORG,15,5,impossible
brutal,analyze,T,90002,90005,TORG,WHI,15,10,tight
brutal,analyze,W,90001,90003,MCB,WHI,18,10,impossible
brutal,analyze,W,90003,90007,WHI,TORG,15,5,impossible
brutal,analyze,R,90002,90005,TORG,WHI,15,10,tight
brutal,analyze,F,90001,90003,MCB,WHI,18,10,impossible
brutal,analyze,F,90003,90007,WHI,TORG,15,5,impossible
easy,miss_week_8,M,90001,90003,MCB,WHI,18,10,impossible
easy,miss_week_8,W,90001,90003,MCB,WHI,18,10,impossible
easy,miss_week_8,F,90001,90003,MCB,WHI,18,10,impossible
swap,swap_before,M,90001,90003,MCB,WHI,18,10,impossible
swap,swap_before,W,90001,90003,MCB,WHI,18,10,impossible
swap,swap_before,F,90001,90003,MCB,WHI,18,10,impossible
